user_id,session_id,timestamp,gender,age_group,body_type,skin_tone,height,style_preference,budget_level,preferred_brand,clothing_type,fabric,primary_color,pattern,occasion,mood,season,weather,price_usd,satisfaction_score,trend_score,comfort_score,sustainability_score,quality_score,fit_score,views,likes,shares,saves,tryon_count,purchased,embedding_1,embedding_2,embedding_3,month,total_score,recommendation_priority,outfit_description
INZ_000016,746fccbb7b22,2023-06-18,Gender-fluid,45-54,Inverted Triangle,Tan,"5'6""-5'8""",Minimalist,Premium,Nike,Jeans,Cotton,Orange,Solid,Party,Confident,Winter,Snowy,299.21,0.465,0.95,0.36,0.337,0.731,0.98,115,22,3,14,7,0,2.1559,-1.3072,-0.1721,6,0.632,High,Minimalist Jeans in Orange - Perfect for Party
INZ_000017,00894c5c83e1,2023-03-08,Gender-fluid,55+,Athletic,Light,"5'9""-5'11""",Athleisure,Luxury,Uniqlo,Coat,Denim,Gray,Geometric,Gym,Sophisticated,Summer,Sunny,180.18,0.881,0.817,0.517,0.682,0.561,0.848,101,21,7,6,12,0,-0.2152,-0.0059,0.0007,3,0.712,High,Athleisure Coat in Gray - Perfect for Gym
INZ_000018,0c0b96dc5ab4,2023-11-06,Gender-fluid,55+,Hourglass,Tan,"6'0""-6'2""",Classic,Budget,Uniqlo,Dress,Linen,Black,Plaid,Gym,Romantic,Winter,Cloudy,126.32,0.381,0.604,0.681,0.976,0.724,0.954,107,24,5,6,9,0,-1.4264,0.8325,0.5522,11,0.582,Medium,Classic Dress in Black - Perfect for Gym
INZ_000019,beb79c856e8e,2023-10-04,Non-binary,18-24,Apple,Dark,"5'3""-5'5""",Classic,Mid-range,Uniqlo,Sweater,Cotton,Brown,Striped,Formal,Sophisticated,Winter,Windy,284.75,0.894,0.609,0.545,0.122,0.549,0.796,92,21,7,18,14,0,-0.3688,0.3124,-0.3044,10,0.667,High,Classic Sweater in Brown - Perfect for Formal
INZ_000020,857517a1042d,2023-01-11,Male,25-34,Athletic,Medium,"5'3""-5'5""",Romantic,Luxury,Adidas,Blouse,Silk,Red,Plaid,Gala,Relaxed,Summer,Windy,252.23,0.512,0.318,0.935,0.668,0.889,0.806,127,17,7,11,4,0,0.5268,1.2402,-0.4287,1,0.642,High,Romantic Blouse in Red - Perfect for Gala
INZ_000021,847cc89c91d9,2023-01-11,Female,55+,Hourglass,Tan,"5'0""-5'2""",Classic,Premium,Zara,Top,Cotton,White,Floral,Interview,Confident,Fall,Snowy,348.88,0.454,0.015,0.672,0.024,0.437,0.886,113,27,5,9,4,0,-1.0563,-1.7842,0.5561,1,0.384,Medium,Classic Top in White - Perfect for Interview
INZ_000022,7196a32ae20b,2023-07-14,Male,55+,Pear,Olive,"6'0""-6'2""",Athleisure,Mid-range,Mango,Blouse,Velvet,Gray,Solid,Vacation,Playful,Winter,Sunny,278.08,0.95,0.213,0.405,0.183,0.609,0.601,84,18,3,9,9,0,-0.8849,0.6562,-0.3149,7,0.572,Medium,Athleisure Blouse in Gray - Perfect for Vacation
INZ_000023,b3f0efd13c6e,2023-02-16,Gender-fluid,35-44,Rectangle,Light,"5'3""-5'5""",Classic,Budget,Nike,Jacket,Denim,Black,Animal Print,Party,Romantic,Fall,Rainy,219.62,0.576,0.327,0.763,0.784,0.44,0.911,99,22,4,10,11,0,-0.5105,-0.7131,0.4073,2,0.517,Medium,Classic Jacket in Black - Perfect for Party
INZ_000024,5ea8fa33e698,2023-12-27,Gender-fluid,55+,Athletic,Dark,"5'6""-5'8""",Bohemian,Luxury,Mango,Coat,Linen,White,Geometric,Business,Sophisticated,Winter,Windy,426.73,0.968,0.327,0.585,0.736,0.563,0.906,102,23,4,11,5,1,0.1283,-0.0167,-0.1232,12,0.63,High,Bohemian Coat in White - Perfect for Business
INZ_000025,379a88901b48,2023-06-20,Male,25-34,Athletic,Tan,"5'6""-5'8""",Bohemian,Budget,H&M,Shorts,Velvet,Gray,Floral,Gala,Romantic,Fall,Windy,401.65,0.751,0.424,0.879,0.843,0.468,0.565,92,27,4,10,7,0,1.3101,0.8643,-0.3624,6,0.624,High,Bohemian Shorts in Gray - Perfect for Gala
INZ_000026,68b33c41508f,2023-06-30,Male,45-54,Pear,Olive,"5'6""-5'8""",Bohemian,Budget,Zara,Jeans,Polyester,Pink,Striped,Gala,Energetic,Fall,Cloudy,410.47,0.724,0.23,0.899,0.506,0.676,0.653,105,20,3,11,7,0,0.3913,-0.6729,0.4123,6,0.624,High,Bohemian Jeans in Pink - Perfect for Gala
INZ_000027,da83d7e5523f,2023-10-11,Male,45-54,Pear,Dark,"5'6""-5'8""",Streetwear,Premium,Nike,Shorts,Linen,Green,Polka Dot,Wedding,Confident,Fall,Sunny,63.73,0.567,0.769,0.855,0.891,0.448,0.988,97,9,11,8,8,0,-1.3655,-1.36,-0.0073,10,0.645,High,Streetwear Shorts in Green - Perfect for Wedding
INZ_000028,c87c3a837ab7,2023-02-02,Gender-fluid,45-54,Rectangle,Medium,"5'3""-5'5""",Romantic,Premium,Nike,Skirt,Velvet,White,Striped,Vacation,Happy,Winter,Windy,91.61,0.482,0.189,0.329,0.623,0.778,0.639,99,25,5,15,6,0,-0.7199,-0.6143,-0.0628,2,0.452,Medium,Romantic Skirt in White - Perfect for Vacation
INZ_000029,0629556f099b,2023-12-02,Gender-fluid,45-54,Inverted Triangle,Light,"5'9""-5'11""",Classic,Premium,Zara,Coat,Denim,Blue,Polka Dot,Vacation,Confident,Fall,Cloudy,116.2,0.375,0.802,0.417,0.079,0.812,0.889,82,17,1,9,4,1,-1.4336,-0.9517,0.6594,12,0.599,Medium,Classic Coat in Blue - Perfect for Vacation
INZ_000030,f4caba53ab39,2023-01-26,Female,35-44,Athletic,Tan,"6'0""-6'2""",Streetwear,Mid-range,Balmain,Dress,Velvet,Gray,Animal Print,Casual,Confident,Winter,Rainy,456.76,0.711,0.562,0.827,0.889,0.862,0.673,120,18,6,7,12,0,2.5112,0.3614,-0.5429,1,0.735,High,Streetwear Dress in Gray - Perfect for Casual
INZ_000031,3866ead32178,2023-09-23,Female,55+,Hourglass,Medium,"5'6""-5'8""",Edgy,Mid-range,Gucci,Coat,Linen,Yellow,Solid,Casual,Playful,Fall,Rainy,193.64,0.335,0.46,0.639,0.382,0.844,0.975,98,21,1,13,5,0,1.2206,-0.8946,-0.7442,9,0.554,Medium,Edgy Coat in Yellow - Perfect for Casual
INZ_000032,f4dba9d43128,2023-04-18,Gender-fluid,45-54,Apple,Dark,"5'3""-5'5""",Romantic,Premium,Adidas,Dress,Leather,Purple,Animal Print,Wedding,Artistic,Fall,Windy,334.43,0.584,0.336,0.833,0.183,0.666,0.511,105,29,2,14,5,0,0.1601,0.3127,0.3535,4,0.592,Medium,Romantic Dress in Purple - Perfect for Wedding
INZ_000033,1d2dee9de930,2023-07-05,Male,18-24,Pear,Olive,"5'3""-5'5""",Athleisure,Mid-range,H&M,Pants,Silk,Yellow,Animal Print,Date Night,Romantic,Spring,Windy,40.33,0.901,0.123,0.604,0.825,0.85,0.876,112,32,5,10,9,0,-1.1599,-0.4073,-0.7497,7,0.634,High,Athleisure Pants in Yellow - Perfect for Date Night
INZ_000034,5afce1910b3a,2023-10-02,Male,45-54,Pear,Dark,"5'6""-5'8""",Edgy,Luxury,Uniqlo,Top,Cotton,Yellow,Polka Dot,Formal,Playful,Winter,Windy,371.93,0.938,0.805,0.496,0.922,0.815,0.746,121,21,9,5,2,0,0.538,-0.7238,0.0958,10,0.786,High,Edgy Top in Yellow - Perfect for Formal
INZ_000035,b99144dede6f,2023-04-12,Female,55+,Apple,Dark,"5'0""-5'2""",Bohemian,Budget,H&M,Top,Silk,Yellow,Polka Dot,Casual,Sophisticated,Winter,Sunny,386.27,0.602,0.497,0.407,0.52,0.796,0.902,99,23,4,10,10,0,2.6973,-0.0447,1.8252,4,0.585,Medium,Bohemian Top in Yellow - Perfect for Casual
INZ_000036,8ec6afd9b989,2023-03-22,Gender-fluid,45-54,Hourglass,Light,"5'3""-5'5""",Edgy,Premium,H&M,Dress,Denim,Green,Animal Print,Wedding,Artistic,Summer,Windy,377.88,0.545,0.209,0.726,0.636,0.62,0.503,118,18,4,9,8,0,0.8325,-0.1807,0.3763,3,0.516,Medium,Edgy Dress in Green - Perfect for Wedding
INZ_000037,2d1d863d3bce,2023-10-02,Female,35-44,Pear,Tan,"6'0""-6'2""",Bohemian,Budget,Zara,Jeans,Cotton,Green,Geometric,Brunch,Romantic,Winter,Cloudy,40.86,0.661,0.97,0.686,0.417,0.853,0.596,115,30,1,9,8,0,-0.863,0.497,-0.1272,10,0.791,High,Bohemian Jeans in Green - Perfect for Brunch
INZ_000038,aca46fd7b426,2023-07-22,Female,25-34,Apple,Medium,"6'0""-6'2""",Athleisure,Budget,Zara,Skirt,Polyester,Yellow,Striped,Date Night,Sophisticated,Summer,Rainy,67.17,0.372,0.174,0.483,0.845,0.655,0.88,97,24,3,11,4,0,0.0079,1.3113,2.5193,7,0.415,Medium,Athleisure Skirt in Yellow - Perfect for Date Night
INZ_000039,b70d242964b1,2023-04-28,Non-binary,25-34,Pear,Light,"5'0""-5'2""",Romantic,Budget,Prada,Pants,Wool,Yellow,Floral,Party,Romantic,Spring,Sunny,376.45,0.376,0.366,0.483,0.983,0.646,0.823,99,22,9,13,8,0,-2.9133,1.9194,-0.7693,4,0.462,Medium,Romantic Pants in Yellow - Perfect for Party
INZ_000040,9266d152873b,2023-05-29,Non-binary,55+,Inverted Triangle,Olive,"5'3""-5'5""",Romantic,Luxury,Balmain,Jeans,Leather,Black,Striped,Casual,Romantic,Fall,Rainy,320.89,0.327,0.305,0.749,0.049,0.611,0.69,120,21,8,14,13,1,1.0317,-0.6151,0.197,5,0.477,Medium,Romantic Jeans in Black - Perfect for Casual
INZ_000041,a7a1a4893f1e,2023-03-24,Non-binary,25-34,Inverted Triangle,Tan,"5'0""-5'2""",Athleisure,Luxury,Prada,Pants,Linen,Pink,Geometric,Wedding,Romantic,Fall,Sunny,194.74,0.911,0.176,0.369,0.257,0.742,0.873,92,16,10,8,4,0,-0.0834,0.0192,0.1265,3,0.577,Medium,Athleisure Pants in Pink - Perfect for Wedding
INZ_000042,e95a97a7e702,2023-07-11,Male,25-34,Pear,Light,"5'3""-5'5""",Athleisure,Mid-range,Nike,T-shirt,Leather,Yellow,Plaid,Date Night,Confident,Spring,Rainy,286.08,0.857,0.592,0.961,0.869,0.414,0.628,97,22,4,10,5,0,1.282,-0.2415,-0.2954,7,0.701,High,Athleisure T-shirt in Yellow - Perfect for Date Night
INZ_000043,ae205c5e1eb9,2023-06-19,Gender-fluid,18-24,Pear,Olive,"5'3""-5'5""",Classic,Budget,Adidas,Jeans,Velvet,Yellow,Striped,Gala,Playful,Summer,Windy,21.74,0.481,0.016,0.724,0.669,0.719,0.979,93,22,4,10,6,0,0.5072,-1.0507,-0.6302,6,0.473,Medium,Classic Jeans in Yellow - Perfect for Gala
INZ_000044,aa59a4f29233,2023-07-31,Gender-fluid,55+,Inverted Triangle,Olive,"5'0""-5'2""",Streetwear,Mid-range,Nike,Pants,Velvet,Black,Striped,Date Night,Energetic,Winter,Windy,226.97,0.782,0.829,0.688,0.519,0.71,0.979,114,20,5,12,6,0,-1.1307,0.6363,0.3517,7,0.757,High,Streetwear Pants in Black - Perfect for Date Night
INZ_000045,2aae8cf29cb4,2023-04-21,Gender-fluid,55+,Pear,Medium,"5'9""-5'11""",Bohemian,Budget,Nike,Dress,Silk,Pink,Striped,Date Night,Confident,Winter,Cloudy,100.18,0.923,0.702,0.375,0.042,0.599,0.755,95,18,5,10,7,0,-0.4466,0.1019,-1.0099,4,0.677,High,Bohemian Dress in Pink - Perfect for Date Night
INZ_000046,28a7d9cf53b1,2023-10-11,Gender-fluid,25-34,Hourglass,Dark,"5'6""-5'8""",Minimalist,Premium,Prada,Shorts,Leather,Yellow,Plaid,Interview,Happy,Spring,Windy,483.67,0.87,0.241,0.354,0.533,0.593,0.922,98,24,3,12,6,0,-0.2509,-0.0695,1.4024,10,0.54,Medium,Minimalist Shorts in Yellow - Perfect for Interview
INZ_000047,cd07768ac9f7,2023-05-08,Non-binary,25-34,Hourglass,Olive,"5'6""-5'8""",Athleisure,Budget,Uniqlo,Sweater,Cotton,Brown,Geometric,Vacation,Bold,Fall,Rainy,172.13,0.435,0.83,0.503,0.278,0.684,0.751,111,24,6,12,5,0,-0.0052,2.0616,-0.2871,5,0.61,High,Athleisure Sweater in Brown - Perfect for Vacation
INZ_000048,8a0d14cad15a,2023-01-07,Male,25-34,Rectangle,Olive,"5'6""-5'8""",Minimalist,Budget,Nike,Jeans,Denim,White,Floral,Gym,Bold,Winter,Cloudy,402.58,0.508,0.896,0.899,0.097,0.776,0.514,90,16,5,13,7,0,1.052,-1.1593,1.0022,1,0.75,High,Minimalist Jeans in White - Perfect for Gym
INZ_000049,758dffe4610b,2023-01-19,Male,35-44,Hourglass,Dark,"5'0""-5'2""",Classic,Luxury,Uniqlo,Pants,Polyester,Beige,Geometric,Gala,Romantic,Winter,Rainy,81.05,0.499,0.733,0.855,0.087,0.477,0.511,111,17,3,10,5,0,-0.74,1.0676,-0.2504,1,0.623,High,Classic Pants in Beige - Perfect for Gala
INZ_000050,911004a461c8,2023-01-11,Non-binary,45-54,Athletic,Fair,"5'3""-5'5""",Athleisure,Premium,Prada,Dress,Linen,Navy,Solid,Wedding,Bold,Summer,Snowy,106.45,0.612,0.05,0.696,0.858,0.484,0.878,96,22,5,13,7,0,1.7007,-2.2828,0.0112,1,0.456,Medium,Athleisure Dress in Navy - Perfect for Wedding
INZ_000051,89365514ae3d,2023-09-27,Male,35-44,Athletic,Olive,"5'3""-5'5""",Streetwear,Mid-range,Uniqlo,Jacket,Denim,Gray,Animal Print,Formal,Happy,Winter,Cloudy,355.07,0.638,0.463,0.81,0.693,0.945,0.548,95,19,3,10,7,0,0.5083,-0.1557,-0.2681,9,0.705,High,Streetwear Jacket in Gray - Perfect for Formal
INZ_000052,572912c8b21b,2023-02-22,Non-binary,55+,Athletic,Tan,"6'0""-6'2""",Bohemian,Premium,Nike,Skirt,Polyester,Beige,Floral,Formal,Confident,Spring,Cloudy,391.03,0.502,0.088,0.995,0.981,0.587,0.98,99,20,6,8,7,0,0.9349,-0.0457,-0.4523,2,0.518,Medium,Bohemian Skirt in Beige - Perfect for Formal
INZ_000053,52ad49c169aa,2023-09-14,Gender-fluid,18-24,Pear,Light,"5'3""-5'5""",Classic,Luxury,Versace,Jacket,Linen,Purple,Plaid,Formal,Energetic,Summer,Sunny,451.4,0.896,0.019,0.431,0.123,0.558,0.699,102,12,3,13,9,1,-0.1031,-0.0314,-0.9526,9,0.499,Medium,Classic Jacket in Purple - Perfect for Formal
INZ_000054,d34498a08f7d,2023-07-23,Non-binary,45-54,Pear,Dark,"5'9""-5'11""",Streetwear,Luxury,Zara,Top,Linen,Purple,Solid,Gala,Playful,Fall,Rainy,353.32,0.344,0.227,0.822,0.582,0.654,0.708,110,14,2,4,10,1,0.9574,-0.1607,-0.88,7,0.488,Medium,Streetwear Top in Purple - Perfect for Gala
INZ_000055,cd26870306d2,2023-09-06,Gender-fluid,18-24,Apple,Dark,"5'6""-5'8""",Minimalist,Budget,Prada,Skirt,Denim,Pink,Striped,Party,Sophisticated,Fall,Rainy,359.64,0.661,0.914,0.743,0.848,0.87,0.598,103,25,6,9,6,0,-0.685,-0.0365,-0.4901,9,0.793,High,Minimalist Skirt in Pink - Perfect for Party
INZ_000056,fdb4c1aefdb8,2023-01-22,Gender-fluid,55+,Athletic,Dark,"5'9""-5'11""",Bohemian,Luxury,Prada,Top,Velvet,Beige,Striped,Date Night,Artistic,Fall,Rainy,131.65,0.549,0.378,0.98,0.977,0.834,0.857,100,21,4,12,6,0,-0.2841,0.9711,0.6698,1,0.664,High,Bohemian Top in Beige - Perfect for Date Night
INZ_000057,643d6dc36cae,2023-03-22,Female,55+,Athletic,Tan,"5'6""-5'8""",Streetwear,Luxury,H&M,Dress,Silk,Pink,Animal Print,Wedding,Artistic,Spring,Windy,474.04,0.865,0.822,0.317,0.734,0.872,0.934,90,27,3,8,5,0,0.3729,0.508,1.3474,3,0.746,High,Streetwear Dress in Pink - Perfect for Wedding
INZ_000058,f7d215a99739,2023-05-25,Non-binary,18-24,Hourglass,Dark,"5'0""-5'2""",Edgy,Budget,Gucci,Jacket,Cotton,Beige,Geometric,Gala,Happy,Fall,Sunny,362.13,0.962,0.882,0.41,0.787,0.866,0.658,85,17,9,9,9,0,0.5236,-0.0441,1.4461,5,0.808,Top Priority,Edgy Jacket in Beige - Perfect for Gala
INZ_000059,ee5427ba9995,2023-06-04,Female,18-24,Inverted Triangle,Tan,"5'9""-5'11""",Bohemian,Luxury,Versace,Jeans,Leather,Gray,Plaid,Casual,Romantic,Summer,Sunny,105.17,0.378,0.32,0.389,0.559,0.856,0.899,86,14,3,9,7,0,-0.124,0.1819,-0.1417,6,0.485,Medium,Bohemian Jeans in Gray - Perfect for Casual
INZ_000060,38730711edac,2023-01-13,Non-binary,18-24,Inverted Triangle,Medium,"5'3""-5'5""",Edgy,Luxury,Versace,Pants,Cotton,Pink,Plaid,Gym,Bold,Winter,Rainy,331.5,0.614,0.891,0.42,0.432,0.803,0.94,103,14,9,13,4,0,-1.1186,0.857,0.2149,1,0.692,High,Edgy Pants in Pink - Perfect for Gym
INZ_000061,02f1e4e0ce5c,2023-04-28,Non-binary,55+,Rectangle,Fair,"5'6""-5'8""",Romantic,Mid-range,Zara,Sweater,Linen,Blue,Striped,Gym,Romantic,Summer,Windy,408.61,0.587,0.61,0.801,0.385,0.56,0.671,89,30,4,8,12,0,-0.3034,1.2379,1.4051,4,0.629,High,Romantic Sweater in Blue - Perfect for Gym
INZ_000062,4f34c63a3d26,2023-11-20,Female,25-34,Apple,Dark,"6'0""-6'2""",Romantic,Budget,H&M,Pants,Leather,Black,Striped,Gala,Energetic,Spring,Rainy,242.38,0.315,0.099,0.431,0.47,0.613,0.578,81,19,4,10,11,0,-1.1947,-0.0085,0.3389,11,0.359,Medium,Romantic Pants in Black - Perfect for Gala
INZ_000063,458e49668634,2023-12-19,Female,18-24,Inverted Triangle,Fair,"5'9""-5'11""",Romantic,Budget,Prada,Top,Linen,Orange,Animal Print,Casual,Energetic,Spring,Windy,182.05,0.903,0.744,0.742,0.772,0.85,0.912,100,13,5,8,11,0,-0.9392,0.6458,-0.33,12,0.818,Top Priority,Romantic Top in Orange - Perfect for Casual
INZ_000064,1314b67784dd,2023-05-07,Non-binary,45-54,Rectangle,Dark,"5'0""-5'2""",Classic,Mid-range,Adidas,Skirt,Linen,Black,Animal Print,Formal,Romantic,Winter,Snowy,432.65,0.447,0.425,0.666,0.603,0.735,0.595,91,12,7,9,8,1,1.2085,1.9871,1.4601,5,0.557,Medium,Classic Skirt in Black - Perfect for Formal
INZ_000065,d12fb03fd334,2023-01-18,Male,55+,Hourglass,Tan,"6'0""-6'2""",Streetwear,Mid-range,Gucci,Jacket,Linen,Beige,Animal Print,Gala,Relaxed,Winter,Sunny,430.3,0.361,0.608,0.602,0.248,0.436,0.692,105,17,3,9,7,0,-0.3818,1.2352,-0.8279,1,0.49,Medium,Streetwear Jacket in Beige - Perfect for Gala
INZ_000066,72e8e8a1ff02,2023-05-20,Gender-fluid,35-44,Apple,Light,"5'0""-5'2""",Romantic,Mid-range,Balmain,Top,Cotton,Beige,Plaid,Date Night,Relaxed,Winter,Snowy,396.93,0.935,0.485,0.615,0.729,0.962,0.697,111,21,3,7,6,0,-1.7752,-0.8427,0.2482,5,0.765,High,Romantic Top in Beige - Perfect for Date Night
INZ_000067,739f8e555c71,2023-03-05,Female,35-44,Apple,Fair,"5'6""-5'8""",Athleisure,Mid-range,Gucci,Pants,Leather,Green,Plaid,Wedding,Sophisticated,Spring,Cloudy,118.35,0.501,0.98,0.593,0.606,0.86,0.807,101,19,2,14,4,0,-1.271,1.205,2.5691,3,0.729,High,Athleisure Pants in Green - Perfect for Wedding
INZ_000068,29736078ea99,2023-07-13,Gender-fluid,45-54,Athletic,Fair,"5'9""-5'11""",Streetwear,Budget,Versace,Top,Leather,Brown,Geometric,Party,Sophisticated,Winter,Sunny,288.79,0.69,0.7,0.99,0.627,0.896,0.816,81,22,5,11,19,0,0.1851,0.9802,-0.5755,7,0.804,Top Priority,Streetwear Top in Brown - Perfect for Party
INZ_000069,3415c5d5c4ae,2023-12-02,Male,25-34,Pear,Tan,"5'0""-5'2""",Streetwear,Mid-range,Adidas,Sweater,Linen,Navy,Striped,Interview,Sophisticated,Summer,Snowy,231.24,0.696,0.221,0.992,0.648,0.991,0.665,79,9,2,4,4,0,-0.0643,0.6075,-0.7083,12,0.71,High,Streetwear Sweater in Navy - Perfect for Interview
INZ_000070,b978c3b8f32c,2023-07-25,Male,18-24,Athletic,Fair,"6'0""-6'2""",Streetwear,Mid-range,Versace,Coat,Polyester,Orange,Plaid,Gala,Artistic,Spring,Snowy,354.84,1.0,0.79,0.521,0.35,0.774,0.78,112,16,1,7,7,0,-0.1165,-1.3664,-1.0477,7,0.795,High,Streetwear Coat in Orange - Perfect for Gala
